Numero de Tratativas;Número da programação;Aut. embarque;Tipo de programação;Situação programação;CNPJ Transportadora;Transportadora;Nome local de atendimento;Situação prazo programação;Previsão início atendimento (BRA);Situação viagem;Dt. inclusão da programação;Cidade de destino;Dt chegada local de atendimento (BRA);Dt saída local de atendimento (BRA);Cidade de origem;Cidade local de atendimento;Placa do veículo;Placa da carreta 1;Embarcador;Placa da carreta 2;Valor da viagem;Data de criação da AE;Observação Aberta;Última tratativa
0;3REC73339A;841637;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 06:30:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 06:30:00;01/03/2023 11:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MEW4141 ;HUZ4940 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:42:47;...;
0;3REC73378A;;Entrega;CANCELADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DPC DISTRIBUIDOR ATACADISTA S/A;;01/03/2023 07:00:00;SEM VIAGEM;27/02/2023 14:39:09;;;;IPOJUCA/PE;CARUARU/PE;;;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3REC73379A;;Entrega;CANCELADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DPC DISTRIBUIDOR ATACADISTA S/A;;01/03/2023 07:00:00;SEM VIAGEM;27/02/2023 14:39:09;;;;IPOJUCA/PE;CARUARU/PE;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;1,00;;...;
0;3REC73380A;841279;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PREMIER PET NORDESTE LTDA;No prazo;01/03/2023 07:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 05:54:38;01/03/2023 11:00:44;IPOJUCA/PE;JABOATAO DOS GUARARAPES/PE;ECM7B87 ;KBV5756 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 17:51:04;...;
0;3REC73345A;841646;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 07:30:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 07:30:00;01/03/2023 12:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;GTQ8281 ;HVP7J59 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:52:24;...;
0;3REC73335A;841611;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 12:05:06;;28/02/2023 23:17:12;01/03/2023 10:39:05;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HUM5925 ;DPC9504 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:16:21;...;
1;3REC73376A;841510;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:39:09;;01/03/2023 08:00:00;01/03/2023 13:00:00;IPOJUCA/PE;POMBOS/PE;RIS6G00 ;BWM3F64 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 21:28:38;...;"Nome do Porto: TECON
Previsão de Chegada: SEM JANELA PARA EMISSÃO DE FUE DE OS ANTERIOR"
0;3REC73382A;841551;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PERNOD RICARD BRASIL INDUSTRIA E COMERCIO LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 07:45:00;01/03/2023 10:06:47;IPOJUCA/PE;CABO DE SANTO AGOSTINHO/PE;PEX2D92 ;BYB5B41 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 22:01:39;...;
0;3REC73384A;;Entrega;CANCELADA COM AE;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;C I L COMERCIO DE INFORMATICA LTDA;Atrasado;01/03/2023 08:00:00;SEM VIAGEM;27/02/2023 14:41:10;;01/03/2023 09:58:02;01/03/2023 09:58:02;IPOJUCA/PE;RECIFE/PE;KGE8B12 ;KLM7J03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3REC73385A;841666;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;C I L COMERCIO DE INFORMATICA LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:42:04;;01/03/2023 05:33:58;01/03/2023 17:58:53;IPOJUCA/PE;RECIFE/PE;OYZ6J72 ;MXT1285 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 00:05:25;...;
0;3SSZ334854A;841471;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PLASTIPAK DO BRASIL LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 16:23:52;;01/03/2023 08:00:00;01/03/2023 13:00:00;;PAULINIA/SP;RIR5I98 ;GBO0B92 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 20:49:04;...;
0;3REC73344A;841643;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 08:30:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 08:01:00;01/03/2023 16:37:51;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HWQ9I12 ;HUF7F13 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:49:02;...;
0;3SSZ334855A;841474;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PLASTIPAK DO BRASIL LTDA;No prazo;01/03/2023 08:30:00;CONCLUIDA;27/02/2023 16:23:52;;28/02/2023 20:43:00;01/03/2023 10:40:00;;PAULINIA/SP;RIS6G08 ;FWE4C93 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 20:51:29;...;
0;3REC73338A;841573;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 07:56:38;01/03/2023 09:28:38;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;AUT4661 ;IXY8017 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 22:24:06;...;
0;3REC73342A;842129;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 08:33:12;01/03/2023 16:22:02;;SAO GONCALO DO AMARANTE/CE;MEW4141 ;HUZ4940 ;LOG IN LOGISTICA INTERMODAL SA          ;;;01/03/2023 08:53:01;...;
1;3REC73377A;;Entrega;CANCELADA COM AE;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA;Atrasado;01/03/2023 09:00:00;SEM VIAGEM;27/02/2023 14:39:09;;01/03/2023 09:56:21;01/03/2023 09:56:21;IPOJUCA/PE;POMBOS/PE;RIR5J06 ;GBS9J12 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;"Nome do Porto: TECON
Previsão de Chegada: SEM JANELA PARA EMISSÃO DE FUE DE OS ANTERIOR"
0;3REC73383A;841555;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PERNOD RICARD BRASIL INDUSTRIA E COMERCIO LTDA;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 08:57:00;01/03/2023 10:29:00;;CABO DE SANTO AGOSTINHO/PE;MHM8C59 ;IHJ6429 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 22:05:14;...;
0;3REC73334A;841904;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 09:30:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 09:30:00;01/03/2023 14:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;BTO1930 ;BTO3338 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 05:19:24;...;
0;3ITJ91205A;841162;Coleta;ENCERRADA;15.245.792/0001-31;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTO;No prazo;01/03/2023 10:00:00;CONCLUIDA;27/02/2023 11:50:47;;01/03/2023 09:21:00;01/03/2023 18:33:33;;MAUA DA SERRA/PR;MHG3J78 ;IRG5810 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 16:35:08;...;
0;3REC73337A;841634;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;01/03/2023 10:00:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 09:40:00;01/03/2023 13:37:49;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;ASD2277 ;APU0H68 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:41:05;...;
0;3REC73341A;841641;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 10:00:00;CONCLUIDA;27/02/2023 12:05:59;;01/03/2023 10:00:00;01/03/2023 15:00:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;NFU4G07 ;LWH0I03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:46:31;...;
0;3REC73340A;841640;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 10:30:00;CONCLUIDA;27/02/2023 12:05:07;;01/03/2023 09:12:17;01/03/2023 15:07:25;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;NVC2273 ;FQO9E02 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:44:41;...;
0;3REC73620A;841569;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DPC DISTRIBUIDOR ATACADISTA S/A;No prazo;01/03/2023 11:00:00;CONCLUIDA;28/02/2023 17:50:40;;01/03/2023 11:00:00;01/03/2023 16:00:00;IPOJUCA/PE;CARUARU/PE;ABJ7C03 ;KFX5F80 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 22:19:45;...;
0;3REC73336A;841620;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;01/03/2023 12:00:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 11:01:00;01/03/2023 14:36:23;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;AUT4G65 ;IXY8A18 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:25:17;...;
0;3REC73381A;841542;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PREMIER PET NORDESTE LTDA;No prazo;01/03/2023 13:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 10:38:53;01/03/2023 16:07:12;IPOJUCA/PE;JABOATAO DOS GUARARAPES/PE;KFW6F60 ;HWM9A57 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 21:50:56;...;
0;3SSZ334853A;841476;Entrega;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;APOIO LOGISTICA E SERVICOS LTDA;No prazo;01/03/2023 13:00:00;CONCLUIDA;27/02/2023 16:19:13;;01/03/2023 10:11:08;01/03/2023 10:52:01;SANTOS/SP;SUMARE/SP;RIT6B27 ;FKQ4C23 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 20:53:24; Nº 30021875!;
0;3REC73418A;841649;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 13:30:00;CONCLUIDA;27/02/2023 16:36:12;;01/03/2023 13:30:00;01/03/2023 18:30:00;;SAO GONCALO DO AMARANTE/CE;BTO1930 ;BTO3338 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 23:55:10;...;
0;3SSZ334856A;841478;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;01/03/2023 15:00:00;CONCLUIDA;27/02/2023 16:23:52;;01/03/2023 13:09:59;02/03/2023 06:11:35;;MAIRINQUE/SP;RIT6B16 ;GHG6C34 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 20:55:32;...;
0;3SSZ334857A;;Coleta;CANCELADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;;01/03/2023 15:00:00;SEM VIAGEM;27/02/2023 16:23:53;SANTOS/SP;;;CUBATAO/SP;MAIRINQUE/SP;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;2,00;;...;
0;3SSZ334858A;841479;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;COMPANHIA BRASILEIRA DE ALUMINIO;No prazo;01/03/2023 16:00:00;CONCLUIDA;27/02/2023 16:23:53;;01/03/2023 13:53:35;02/03/2023 04:58:18;SANTOS/SP;ALUMINIO/SP;RIT6B29 ;GHC4H31 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 20:58:53;...;
0;3SSZ334859A;841481;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;COMPANHIA BRASILEIRA DE ALUMINIO;No prazo;01/03/2023 16:00:00;CONCLUIDA;27/02/2023 16:23:53;;01/03/2023 14:49:31;03/03/2023 12:56:45;;ALUMINIO/SP;RIT6B26 ;GJA7F92 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 21:03:13;...;
0;3REC73343A;;Coleta;CANCELADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;;01/03/2023 16:30:00;SEM VIAGEM;27/02/2023 12:06:00;SAO GONCALO DO AMARANTE/CE;;;CAUCAIA/CE;SAO GONCALO DO AMARANTE/CE;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;2,00;;...;
0;3ITJ91085A;842633;Entrega;ENCERRADA;15.245.792/0001-31;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;EUGENIO RAULINO K SA;No prazo;01/03/2023 23:00:00;CONCLUIDA;24/02/2023 13:05:48;;01/03/2023 18:11:00;02/03/2023 04:50:00;NAVEGANTES/SC;BIGUACU/SC;MEI0B82 ;ABV0331 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 16:17:39;...;
0;3REC73192A;843085;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;FRIOVIX COMERCIO DE REF LTDA (CONDE-PB);No prazo;02/03/2023 06:00:00;CONCLUIDA;24/02/2023 11:22:16;;02/03/2023 06:00:00;02/03/2023 11:00:00;IPOJUCA/PE;CONDE/PB;RIS6G00 ;BWM3F64 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:19:32;...;
0;3REC73193A;843087;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;FRIOVIX COMERCIO DE REF LTDA (CONDE-PB);No prazo;02/03/2023 06:00:00;CONCLUIDA;24/02/2023 11:22:16;;02/03/2023 06:00:00;02/03/2023 11:00:00;IPOJUCA/PE;CONDE/PB;RIR5J06 ;GBS9J12 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:21:34;...;
0;3REC73444A;843328;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 06:30:00;CONCLUIDA;27/02/2023 17:14:26;;02/03/2023 03:40:14;02/03/2023 14:05:08;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MEW4141 ;HUZ4940 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:41:01;...;
0;3SSZ334913A;843032;Entrega;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MEXICHEM BRASIL INDUSTRIA DE TRANSFORMAC;No prazo;02/03/2023 07:00:00;CONCLUIDA;28/02/2023 11:40:45;;02/03/2023 04:05:00;02/03/2023 12:07:39;SANTOS/SP;SUMARE/SP;RIR5J05 ;LMP0J59 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 22:29:08;...;
0;3REC73446A;843339;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 07:30:00;CONCLUIDA;27/02/2023 17:14:27;;02/03/2023 07:30:00;02/03/2023 12:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HUM5925 ;DPC9504 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:52:24;...;
0;3REC73438A;843320;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 08:00:00;CONCLUIDA;27/02/2023 17:13:34;;02/03/2023 07:39:22;02/03/2023 11:17:02;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;AUT4G65 ;IXY8A18 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:26:09;...;
0;3REC73441A;843325;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;02/03/2023 08:00:00;CONCLUIDA;27/02/2023 17:14:26;;02/03/2023 08:00:00;02/03/2023 13:00:00;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;BYH7131 ;GNE1311 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:36:17;...;
0;3REC73469A;843128;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;AKZO NOBEL LTDA;No prazo;02/03/2023 08:00:00;CONCLUIDA;27/02/2023 17:56:38;;02/03/2023 08:00:00;02/03/2023 13:00:00;IPOJUCA/PE;RECIFE/PE;MHM8C59 ;IHJ6429 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:45:10;...;
0;3REC73472A;843156;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;FRIOZEM ARMAZENS FRIGORIFICOS LTDA;No prazo;02/03/2023 08:00:00;CONCLUIDA;27/02/2023 17:56:38;;02/03/2023 04:24:46;02/03/2023 10:39:30;IPOJUCA/PE;RECIFE/PE;KKG5B10 ;IHJ7560 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:59:10;...;
0;3REC73447A;843344;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 08:30:00;CONCLUIDA;27/02/2023 17:14:27;;02/03/2023 07:02:33;02/03/2023 10:28:45;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MAN3291 ;HVQ3G39 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:58:03;...;
0;3REC73440A;843324;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;02/03/2023 09:00:00;CONCLUIDA;27/02/2023 17:14:25;;02/03/2023 09:00:00;02/03/2023 14:00:00;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;ASD2277 ;APU0H68 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:32:02;...;
0;3REC73474A;843182;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;BRASCOLOR GRAFICA E EDITORA LTDA;No prazo;02/03/2023 09:00:00;CONCLUIDA;27/02/2023 17:56:39;;02/03/2023 05:53:28;02/03/2023 07:10:49;IPOJUCA/PE;ABREU E LIMA/PE;KGE8B12 ;KLM7J03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 00:14:30;...;
0;3SSZ334977A;843037;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;SAINT GOBAN DO BRASIL PROD INDUST;No prazo;02/03/2023 09:00:00;CONCLUIDA;28/02/2023 14:39:51;;02/03/2023 07:40:00;02/03/2023 15:07:00;;SAO PAULO/SP;RIT6B27 ;FKQ4C23 ;LOG IN LOGISTICA INTERMODAL SA          ;;;01/03/2023 22:33:11;...;
0;3REC73641A;842746;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA;No prazo;02/03/2023 09:00:00;CONCLUIDA;01/03/2023 10:42:40;;02/03/2023 07:21:30;02/03/2023 09:51:50;IPOJUCA/PE;POMBOS/PE;PEX2D92 ;BYB5B41 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 17:30:24;...;
0;3REC73439A;843346;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 09:30:00;CONCLUIDA;27/02/2023 17:13:35;;02/03/2023 06:24:31;02/03/2023 11:59:48;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HXM3D01 ;MRP0H20 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 04:07:19;...;
0;3REC73442A;843326;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 10:00:00;CONCLUIDA;27/02/2023 17:14:26;;02/03/2023 08:19:36;02/03/2023 12:33:45;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MHB7056 ;IWW3I79 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:37:50;...;
0;3REC73445A;843331;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 10:00:00;CONCLUIDA;27/02/2023 17:14:26;;02/03/2023 07:52:56;02/03/2023 16:36:46;;SAO GONCALO DO AMARANTE/CE;HWQ9I12 ;HUF7F13 ;LOG IN LOGISTICA INTERMODAL SA          ;;;02/03/2023 03:49:07;...;
0;3REC73443A;842430;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;02/03/2023 10:30:00;CONCLUIDA;27/02/2023 17:14:26;;01/03/2023 14:26:39;02/03/2023 15:03:20;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;NFU4G07 ;LWH0I03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 13:56:26;...;
0;3REC73470A;843133;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTILIT FIBROCIMENTO LTDA;No prazo;02/03/2023 11:00:00;CONCLUIDA;27/02/2023 17:56:38;;02/03/2023 06:57:40;02/03/2023 07:27:14;IPOJUCA/PE;RECIFE/PE;ECM7B87 ;KBV5756 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:48:05;...;
0;3REC73471A;843139;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTILIT FIBROCIMENTO LTDA;No prazo;02/03/2023 11:00:00;CONCLUIDA;27/02/2023 17:56:38;;02/03/2023 06:50:16;02/03/2023 07:23:58;IPOJUCA/PE;RECIFE/PE;KFW6F60 ;HWM9A57 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 23:50:42;...;
1;3REC73436A;843319;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;KLABIN S.A.;Atrasado;02/03/2023 12:00:00;CONCLUIDA;27/02/2023 17:13:34;;02/03/2023 14:26:38;02/03/2023 16:18:53;SAO GONCALO DO AMARANTE/CE;HORIZONTE/CE;AUT4661 ;IXY8017 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;02/03/2023 03:23:04;...;"Previsão de Chegada:14:26

Problemas de bateria"
