Numero de Tratativas;Número da programação;Aut. embarque;Tipo de programação;Situação programação;CNPJ Transportadora;Transportadora;Nome local de atendimento;Situação prazo programação;Previsão início atendimento (BRA);Situação viagem;Dt. inclusão da programação;Cidade de destino;Dt chegada local de atendimento (BRA);Dt saída local de atendimento (BRA);Cidade de origem;Cidade local de atendimento;Placa do veículo;Placa da carreta 1;Embarcador;Placa da carreta 2;Valor da viagem;Data de criação da AE;Observação Aberta;Última tratativa
0;3REC74986A;862162;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;20/03/2023 10:30:00;CONCLUIDA;16/03/2023 14:45:45;;20/03/2023 09:17:01;20/03/2023 12:32:43;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HUM5925 ;DPC9504 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;17/03/2023 22:47:28;...;
0;3REC74972A;862143;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;20/03/2023 11:00:00;CONCLUIDA;16/03/2023 14:45:44;;20/03/2023 10:49:00;20/03/2023 11:41:48;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;MHB7056 ;IWW3I79 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;17/03/2023 22:27:08;...;
0;3SSZ337080A;862346;Entrega;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;EMBALIXO INDUSTRIA E COMERCIO DE EMBALAGENS PLASTI;No prazo;20/03/2023 11:00:00;CONCLUIDA;17/03/2023 11:55:56;;20/03/2023 03:59:20;20/03/2023 12:31:47;SANTOS/SP;HORTOLANDIA/SP;EVO8939 ;MLG6F54 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;18/03/2023 05:02:10;...;
0;3SSZ336860A;862341;Entrega;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DHL LOGISTICS (BRAZIL) LTDA;No prazo;20/03/2023 12:00:00;CONCLUIDA;16/03/2023 12:54:35;;20/03/2023 12:00:00;20/03/2023 17:00:00;SANTOS/SP;CAJAMAR/SP;RIT6B10 ;FCJ7C65 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;18/03/2023 04:52:53;...;
0;3SSZ336866A;;Entrega;CANCELADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;YUSEN LOGISTICS DO BRASIL LTDA.;;20/03/2023 12:00:00;SEM VIAGEM;16/03/2023 12:56:14;;;;SANTOS/SP;SAO CARLOS/SP;;;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3SSZ336857A;862327;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;20/03/2023 13:00:00;CONCLUIDA;16/03/2023 12:25:25;;20/03/2023 12:30:00;20/03/2023 23:08:02;;MAIRINQUE/SP;RIT6B16 ;GHG6C34 ;LOG IN LOGISTICA INTERMODAL SA          ;;;18/03/2023 04:17:42;...;
0;3SSZ336858A;862338;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;20/03/2023 14:00:00;CONCLUIDA;16/03/2023 12:25:25;;20/03/2023 12:31:00;20/03/2023 23:05:59;;MAIRINQUE/SP;RIR5J05 ;GHC4H31 ;LOG IN LOGISTICA INTERMODAL SA          ;;;18/03/2023 04:46:42;...;
0;3SSZ336859A;862339;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;TORTUGA CIA ZOOTECNICA AGRARIA;No prazo;20/03/2023 14:00:00;CONCLUIDA;16/03/2023 12:26:14;;20/03/2023 14:00:00;20/03/2023 19:00:00;;MAIRINQUE/SP;RIT6B26 ;GJA7F92 ;LOG IN LOGISTICA INTERMODAL SA          ;;;18/03/2023 04:49:01;...;
0;3SSZ336867A;;Entrega;CANCELADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;YUSEN LOGISTICS DO BRASIL LTDA.;;20/03/2023 15:00:00;SEM VIAGEM;16/03/2023 12:56:14;;;;SANTOS/SP;SAO CARLOS/SP;;;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3REC75155A;864928;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MAGAZINE LUIZA - ALHANDRA/PB;No prazo;21/03/2023 05:00:00;CONCLUIDA;17/03/2023 13:40:32;;21/03/2023 02:57:16;21/03/2023 10:37:06;IPOJUCA/PE;ALHANDRA/PB;KLW3G90 ;HWM9A57 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 02:59:13;...;
0;3REC75156A;864930;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MAGAZINE LUIZA - ALHANDRA/PB;No prazo;21/03/2023 05:00:00;CONCLUIDA;17/03/2023 13:40:32;;21/03/2023 02:59:55;21/03/2023 12:28:29;IPOJUCA/PE;ALHANDRA/PB;RIR5J06 ;GBS9J12 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 03:00:50;AE 24874052 ! ;
0;3REC75157A;864863;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MAGAZINE LUIZA - ALHANDRA/PB;No prazo;21/03/2023 05:00:00;CONCLUIDA;17/03/2023 13:40:32;;21/03/2023 03:54:34;21/03/2023 10:41:55;IPOJUCA/PE;ALHANDRA/PB;ABJ7C03 ;KFX5F80 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 01:37:36;AE 24874017 ! ;
0;3REC75158A;864933;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.;No prazo;21/03/2023 05:00:00;CONCLUIDA;17/03/2023 13:41:20;;21/03/2023 03:00:00;21/03/2023 07:32:00;IPOJUCA/PE;CABO DE SANTO AGOSTINHO/PE;KGE8B12 ;KLM7J03 ;ELECTROLUX DO BRASIL S.A;;1,00;21/03/2023 03:05:07;AE EULUX 24872835;
0;3REC75192A;864802;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;21/03/2023 06:30:00;CONCLUIDA;17/03/2023 15:12:42;;21/03/2023 06:30:00;21/03/2023 11:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HXS6578 ;MQY1C14 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 00:13:43;...;
0;3REC75186A;;Entrega;CANCELADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;UNIFORCA DISTRIBUIDORA DE ALIMENTOS S/A;;21/03/2023 07:00:00;SEM VIAGEM;17/03/2023 15:13:30;;;;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;1,00;;...;
0;3REC75154A;864925;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;SAO BRAZ S.A. IND. E COM. DE ALIMENTOS;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 13:39:43;;21/03/2023 05:54:00;21/03/2023 12:16:27;;CABEDELO/PB;RIS6G00 ;BWM3F64 ;LOG IN LOGISTICA INTERMODAL SA          ;;;21/03/2023 02:54:45;...;
0;3REC75159A;864935;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DISTRIBUIDORA UNIAO LTDA;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 13:41:20;;21/03/2023 08:00:00;21/03/2023 13:00:00;IPOJUCA/PE;RECIFE/PE;OYZ6J72 ;MXT1285 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 03:11:08;...;
0;3REC75162A;864938;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;ACUMULADORES MOURA S/A;No prazo;21/03/2023 08:00:00;CONCLUIDA;17/03/2023 13:42:10;;21/03/2023 06:21:00;21/03/2023 08:22:27;IPOJUCA/PE;BELO JARDIM/PE;RIS6F98 ;IXS9238 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;21/03/2023 03:22:17;...;
